"w1","w2","w3","w4","iportfolio","sdp","sharp","des"
0,0.08,0.84,0.08,0.000983831932773109,0.0132909903409302,0.0731600673054966,"Minimal risk portfolio"
0.37,0,0,0.63,0.00809657983193277,0.0274172651173832,0.294891471211425,"Maximum efficiency portfolio"
0,0,0,1,0.00921932773109244,0.0365766626469896,0.251741544467462,"Maximum rate of return portfolio"
1,0,0,0,0.00618487394957983,0.0390224069457525,0.158201716600617,"Max weight one portfolio"
0,1,0,0,0.00114621848739496,0.0783599212131312,0.0144813354193477,"Max weight two portfolio"
0,0,1,0,0.000184033613445378,0.015732768260907,0.010968916957878,"Max weight three portfolio"
0,0,0,1,0.00921932773109244,0.0365766626469896,0.251741544467462,"Max weight four portfolio"
